pathway	Eosinophil	Foam_Cell	FOLR2_Mac	M2_Mac	Mast	TREM2_Mac
Udp-N-Acetylglucosamine Transferase Complex (3g)	-0.5234589620484003	2.012327823075246	-0.1759094742275253	-0.2488213005535222	-0.4385908865919099	-0.6255471996538895
Proteasome Accessory Complex (25g)	-1.155485118088344	0.1283786381755929	1.7151314120167092	-0.49262647522612235	0.37396070418271304	-0.5693591610605475
Proteasome Regulatory Particle (22g)	-1.1414102070970915	-0.06218236633981867	1.7793978615103598	-0.3540769248241979	0.323363374315667	-0.545091737564915
Proteasome Regulatory Particle, Lid Subcomplex (8g)	-0.9597690493016339	-0.3697928056220859	1.801642504395784	-0.16295892342691343	0.4030443771726036	-0.7121661032177545
Atp-Binding Cassette (Abc) Transporter Complex (6g)	-0.6059814526608904	-0.06153291030462182	1.95240305374474	-0.4019816628765401	-0.07691899675188404	-0.8059880311508044
Transcription Factor Tfiia Complex (6g)	-0.8813936563374681	-0.5161815946172651	1.820538437522629	-0.3441864143991518	0.47089310666032197	-0.5496698788290638
Gtr1-Gtr2 Gtpase Complex (4g)	-0.874943299566825	-0.7525882945631391	1.849130660890661	0.02641603759810472	0.20564933561933188	-0.45366443997813233
Ego Complex (4g)	-0.874943299566825	-0.7525882945631391	1.849130660890661	0.02641603759810472	0.20564933561933188	-0.45366443997813233
Cone Cell Pedicle (2g)	-0.45156038807486665	-0.6139706245999578	1.776474883192144	-0.3102321061418038	0.536780929639539	-0.9374926940150542
Proton-Transporting Atp Synthase, Stator Stalk (1g)	-0.8998648092852508	-0.07492765751679631	1.9242157750025075	-0.628506359652352	-0.29370398887848137	-0.02721295966962738
Mitochondrial Proton-Transporting Atp Synthase, Stator Stalk (1g)	-0.8998648092852508	-0.07492765751679631	1.9242157750025075	-0.628506359652352	-0.29370398887848137	-0.02721295966962738
Cytosolic Proteasome Complex (8g)	-0.5997165644514022	-0.11565096350168665	1.8497755943215741	0.0729925925185023	-1.0890141730092164	-0.11838648587776851
Guanylate Cyclase Complex, Soluble (2g)	-0.28678035472777164	-0.8889631022762906	1.733797975717892	-0.3020501620579416	0.5781999154870766	-0.8342042721429656
Cytoplasmic Chromatin (1g)	-0.6087879314272467	-0.5600892700875932	1.8732814944244562	-0.5893983700800228	0.41814926812493103	-0.5331551909545238
Mitochondrial Alpha-Ketoglutarate Dehydrogenase Complex (6g)	-0.6760369909608966	-0.5319954867839932	2.0032631199413604	-0.40727629652508746	-0.14029574074340523	-0.24765860492797945
Rod Spherule (1g)	-0.7004569190507554	0.17150910195866934	1.8887684701135974	-0.2060104236281824	-0.25720284583218744	-0.8966073835611414
Presynaptic Intermediate Filament Cytoskeleton (1g)	-0.3190574730440388	-0.4814409117248257	1.9216144895663045	-0.0017695354935889688	-0.1429340205195795	-0.9764125487842715
Isoamylase Complex (1g)	-0.14832579396358997	-0.10892275870946928	1.8321681373275078	-0.6601872109216309	-1.0718091853618428	0.157076811629026
Molybdopterin Synthase Complex (2g)	-0.4698062090792781	0.45543598332057456	1.846608999898898	-0.6973929888341343	-0.6931227999944825	-0.4417229853115775
Subapical Complex (1g)	-0.45069985959306125	-0.9328465022102725	1.8538806421073584	0.22244334863131415	-0.029890678794237405	-0.6628869501411012
Glutamyl-Trna(Gln) Amidotransferase Complex (3g)	-0.20457344614049752	-1.1556887381460677	1.734122450270826	-0.5535229744295037	0.47247057431057415	-0.29280786586533114
Intracellular Canaliculus (1g)	-0.8169667407078179	-0.7984426703391334	1.6905931376338565	0.07196828539074494	0.5671045689967336	-0.7142565809743835
Nucleus-Vacuole Junction (1g)	-0.6686214431384263	0.006799627731188998	1.9027506442288316	-0.14164412926970754	-0.9421742797090114	-0.1571104198428746
Host Cell Mitochondrion (1g)	0.28412022179557844	-0.9025901268147136	1.8705387657494166	-0.2701499455582508	-0.33185553352905806	-0.6500633816429741
Host Cell Mitochondrial Envelope (1g)	0.28412022179557844	-0.9025901268147136	1.8705387657494166	-0.2701499455582508	-0.33185553352905806	-0.6500633816429741
Host Cell Mitochondrial Intermembrane Space (1g)	0.28412022179557844	-0.9025901268147136	1.8705387657494166	-0.2701499455582508	-0.33185553352905806	-0.6500633816429741
Outer Acrosomal Membrane (4g)	-0.0194282178398253	-0.46168427553187275	1.8956286296999658	-1.0269677822373071	-0.015866078287600668	-0.371682275803362
Granular Vesicle (2g)	-0.8137758308150743	-0.9697544416731445	1.7029516422050799	-0.3976728933060551	0.574383076680763	-0.096131553091568
Trna-Specific Adenosine-34 Deaminase Complex (2g)	-0.8995285653214643	-0.07853996475713065	1.9359016428387426	-0.026437385827647222	-0.43022443737393284	-0.501171289558567
Asap Complex (4g)	-1.0310969303704463	-0.08536450703807616	1.901841152591562	-2.0039317592928936e-4	-0.4389519701392624	-0.3462273518678508
Dihydrolipoyl Dehydrogenase Complex (12g)	0.38680914409209566	-0.72918407777135	1.8157709887411952	-0.8473534637701285	-0.08099497429593834	-0.5450476169958675
Beta-Catenin-Tcf7l2 Complex (3g)	-0.32076962840880313	-0.1684434363235862	-0.5938948072936172	1.8038281732769292	-1.0683529673596655	0.34763266610874166
Catenin-Tcf7l2 Complex (4g)	-0.31382499901085437	-0.14578907099112684	-0.591175086794071	1.8111019672986308	-1.0735694541151206	0.3132566436125428
Sodium:Potassium-Exchanging Atpase Complex (12g)	-0.20173383101645617	-0.9719948513746229	-0.43469680707854225	1.681487694061319	0.668982273938372	-0.7420444785300693
Beta-Catenin-Tcf Complex (11g)	-0.5405863522841023	0.21197366742482937	-0.6387972353189423	1.8412055255670294	-0.928311317371481	0.054515711982666075
Cation-Transporting Atpase Complex (18g)	-0.10951300060652366	-0.9591795984177377	-0.3706508828317798	1.5932109761634992	0.7538612053656291	-0.907728699673088
Transcription Elongation Factor Complex (55g)	0.24741490481399803	-0.8127922379016258	-0.9449195776452581	1.7596946391900816	-0.483625596300299	0.23422786784309635
Alpha9-Beta1 Integrin-Vascular Cell Adhesion Molecule-1 Complex (2g)	0.16175121892861288	-1.0547276518221396	0.04366910370459657	1.8236283932200164	-0.3151026223267582	-0.659218441704328
Bcl-2 Family Protein Complex (6g)	-0.1369473384936987	-1.09020270538175	-0.6361480829888584	1.768663752431497	0.4046474284430591	-0.31001305401024953
Apical Ectoplasmic Specialization (1g)	0.21757081068908382	-0.8991344351347934	-0.19470105437285365	1.8895891011304065	-0.4009466830169641	-0.612377739294879
Nucleotide-Excision Repair Factor 1 Complex (3g)	-0.28457638925779677	-0.442797476549296	-0.3543340825883887	1.9414806635795165	0.04888410067279219	-0.9086568158568276
Ercc4-Ercc1 Complex (4g)	-0.034071509316234594	-0.6034924378129712	-0.29472569749466776	1.8354744903437266	0.16926776088525095	-1.0724526066051046
Glutamate-Cysteine Ligase Complex (2g)	-0.0025130336503857782	-0.8857387590628526	0.03867097212940468	1.790027244709612	-1.0029275466341738	0.06248112250839646
Phagophore Assembly Site (32g)	-0.17330298417088733	-0.9410281761030544	-0.8101275421452282	1.6610408036448374	-0.4314847858607193	0.6949026846350478
Transcription Factor Tfiik Complex (2g)	-0.859621017919095	-0.3434152021044057	-0.7415875765379312	1.8876666811667775	-0.09038694435371154	0.1473440597483644
Enzyme Activator Complex (4g)	-0.2951119848274027	-0.2230487267731966	-0.7496509533431006	1.9455263525846278	-0.7173148992507276	0.0396002116097996
Interleukin-5 Receptor Complex (1g)	-0.00397336182416407	-1.1342407041496176	-0.26633603045528503	1.8258818725591597	-0.5422850303040787	0.1209532541739859
Methionine Adenosyltransferase Complex (2g)	-1.243644802728151	0.10892123363302098	-0.7262662625475654	1.6813791724370286	0.27802749811804184	-0.09841683891237582
Nucleotide-Excision Repair Complex (12g)	-0.3273997315462775	-0.7182241254960752	0.15473483519552184	1.7165830686296235	0.3170426570273907	-1.1427367038101806
Cyclin-Dependent Protein Kinase Activating Kinase Holoenzyme Complex (3g)	-0.6862471620443888	0.18000721156102412	-0.9050346751500724	1.7831908706091228	-0.6489073343275006	0.2769910893518172
Escrt I Complex (10g)	-0.6770065712928238	-1.0831896489972603	-0.48771285335970077	1.7280745074595423	0.3275300332411853	0.19230453294905506
Cgrp Receptor Complex (2g)	0.5486028890254248	-1.298206888644996	-0.07178319077464691	1.6078540077859074	-0.6320653372225131	-0.15440148016917563
Adrenomedullin Receptor Complex (3g)	0.3254474240224545	-1.2587562237727552	0.14935256624697027	1.6374672133512704	-0.774441543070394	-0.0790694367775458
Calcitonin Family Receptor Complex (5g)	0.3914268502646398	-1.3343015087284544	0.1446797117730542	1.5935416495490744	-0.7057554086612842	-0.08959129419703067
Dcp1-Dcp2 Complex (1g)	-1.0775416936285123	-0.19892665208043364	-0.6865629163256273	1.8211203290150262	0.04435811416334333	0.09755281885620438
Snrna-Activating Protein Complex (2g)	-0.1703025392348133	-0.41855296410706283	0.024091669694346875	1.7381125364532644	0.15015034764526836	-1.3234990504510042
Transcription Factor Tfiih Holo Complex (12g)	-1.1187646166061789	-0.1543966734064475	-0.16639141161184284	1.889139043855166	-0.3408341798895573	-0.10875216234113567
Inactive Sex Chromosome (1g)	-0.6564165240388633	-0.8299025019276566	-0.6465930822548366	1.5888637849773533	0.9004404862103573	-0.3563921629663553
Macropinocytic Cup (1g)	-0.6588084224407635	-1.2463922019234541	0.3721724720807114	1.6798573064391114	-0.21705583556392938	0.07022668140832355
Storage Vacuole (2g)	-0.13662337529443006	-1.3573660875094693	0.4531432401449717	1.6230730492230425	-0.03646424303634036	-0.5457625835277745
Ufd1-Npl4 Complex (2g)	0.559345859335536	-0.9902665299112298	-0.3469244497401256	1.69846853421025	-0.08776725406498198	-0.8328561598294452
Extrinsic Component Of External Side Of Plasma Membrane (8g)	-0.2638272797049773	-0.620120246717348	-0.39131754743917213	0.15532049451529945	1.9277175577586692	-0.8077729784124709
Cell Trailing Edge (13g)	-0.22697876489475524	-0.3798597074098417	-0.5438261190457354	-0.08171935877211647	1.9841059419025584	-0.7517219917801066
Uropod (13g)	-0.22697876489475524	-0.3798597074098417	-0.5438261190457354	-0.08171935877211647	1.9841059419025584	-0.7517219917801066
Integrin Alphal-Beta2 Complex (2g)	-0.3054413082796266	-0.5784723360103152	-0.3680247001701001	-0.7037804442794154	1.9850605360657432	-0.029341747326286024
Invadopodium Membrane (6g)	-0.6485027071960748	-0.11634366121080715	-0.5943652952918901	0.2777411678607179	1.8731595260675586	-0.7916890302295053
Actomyosin Contractile Ring (4g)	0.0306547415202705	-0.519536006523798	-0.4170878942748411	-0.29066180855471746	1.9684857634176234	-0.7718547955845364
Cell Body Membrane (30g)	-0.09193004661347905	-0.405907808815605	-0.7895053173038652	0.11199567065714885	1.910588178666767	-0.7352406765909666
Ciliary Transition Fiber (9g)	0.10041129220061223	-0.9255983191101372	-0.44619737383131075	-0.21188623052663597	1.9225568985866524	-0.4392862673191813
Myb Complex (3g)	-0.240141689254952	-0.6933604764603072	0.006554396839053022	-0.2729908145179191	1.954053848118205	-0.7541152647240796
Esc/E(Z) Complex (16g)	-0.1266697592118468	-0.19783871770448244	-1.0225315180159014	-0.4216755754689114	1.9229280122689192	-0.15421244186777286
Interleukin-18 Receptor Complex (3g)	-0.3052167650405143	-0.6496366736593047	-0.1182421455196627	-0.26459348545057587	1.9928758746260717	-0.6551868049560144
Apoptosome (2g)	-0.7123239750509345	-0.7766031921427903	-0.46753161475390753	0.1334254894821278	1.909356481017001	-0.086323188551496
Dendritic Microtubule (3g)	-0.3688755762277191	-0.6605718321408877	-0.30391719054966715	-0.7047905102482253	1.9575449800398796	0.08061012912661905
Heteromeric Smad Protein Complex (2g)	-0.631390155206047	-0.418699165312134	-0.601239924463543	-0.3911831865699645	1.9766606411712504	0.06585179038043806
Nonhomologous End Joining Complex (9g)	-0.6586561608959315	-0.6848815640861704	-0.3949140258291776	-0.33996928855610786	1.951804649482986	0.12661638988439838
Rdna Heterochromatin (5g)	-0.48917229081493224	-0.44866802328590577	0.3428963439364088	-0.6306256614752156	1.8959703803787662	-0.6704007487391227
Hippocampal Mossy Fiber Expansion (2g)	-0.4747167288685821	-1.0303562165045184	0.14921962841324168	-0.26543986229868655	1.8844225182770364	-0.26312933901849034
Eukaryotic Translation Initiation Factor 3 Complex, Eif3e (2g)	-0.7905604107423868	-0.1694193476156218	-0.19798132046576766	-0.36909782055389506	1.9892796436812834	-0.46222074430361476
Multi-Eif Complex (2g)	-0.7144909787606613	-0.4694379241699201	0.014821550410783318	-0.20549392632719407	1.9683000357158653	-0.5936987568688739
Smad Protein Complex (7g)	-0.5168991632660399	-1.0330671299018837	0.048462913243321706	-0.3721822758317738	1.87741985593974	-0.003734200183366297
Integrin Alphaiib-Beta3 Complex (1g)	-0.04101587583691702	-0.8152655635869619	-0.242083241520315	-0.3832422806498609	1.9717789523101463	-0.4901719907160915
Alpha9-Beta1 Integrin-Adam8 Complex (1g)	-0.1178264302518312	-0.7721835903803586	-0.028984841667652726	-0.3409726751848001	1.9488825235856704	-0.6889149861010282
Elg1 Rfc-Like Complex (3g)	-0.37580112864579357	-0.594259766461969	0.18076366161591026	-0.4930135242332798	1.9464772865823823	-0.6641665288572509
Exon-Exon Junction Complex (20g)	-0.6853252932841799	-0.5158056557650285	0.1574468099027636	-0.18552123990631345	1.927917809273865	-0.6987124302211112
Viral Integration Complex (2g)	-0.27770383262904885	-0.1636891165587811	0.06152145675267221	-1.07432628301423	1.8848508079101514	-0.43065303246076286
Microtubule Bundle (6g)	-0.14809402879546918	-1.0342433319456437	-0.5851930739246535	-0.18285544371701498	1.8781102401102736	0.07227563827250627
Cyclin E2-Cdk2 Complex (2g)	-0.5480598248958647	-0.4056164257514233	0.0807363276133178	-0.03376287206004168	1.887992899465496	-0.9812901043714833
Glucosidase Ii Complex (2g)	-0.7593262321274066	-0.37386043762571997	0.2985530655020281	-0.5727637691811942	1.9028809278292593	-0.49548355439696673
Cortical Granule (1g)	-0.5759613605476803	-0.6596430782083192	0.2957437335527245	-0.18982673505928715	1.882330744527623	-0.7526433042650605
Dna Polymerase Iii Complex (1g)	-0.4635311232753618	-0.7513363842331207	0.15104861995288987	-0.02321794408188185	1.8863611542466778	-0.7993243226092037
Organelle Membrane (3562g)	-1.0010872954505112	0.15319796156859078	-0.914920058250538	0.4451512530547749	-0.3587673078708327	1.6764254469485125
Inclusion Body (79g)	-0.5221335809786607	-0.07234765616351843	-0.6852572094078344	0.6151922133560096	-1.0192616757440223	1.683807908938028
Csf1-Csf1r Complex (2g)	-0.42730038570481776	-0.17543245833479837	-0.06518156504540236	-0.43085856281113644	-0.8636066268244025	1.9623795987205568
Autophagosome (98g)	-0.27138934384722446	-0.6946660644184843	-0.7811822515192259	0.7732446508377794	-0.6880147065611627	1.6620077155083182
Scar Complex (8g)	0.048577581251915074	-0.9900085282357886	-0.3509402074175034	0.448134746841903	-0.8696193849329173	1.7138557924923903
B Cell Receptor Complex (5g)	-0.1198529712823499	-1.1981571019911257	-0.5281668888425044	-0.3463810533152536	0.4849446466079701	1.7076133688232635
Toll-Like Receptor 1-Toll-Like Receptor 2 Protein Complex (2g)	-1.1456288603158375	-0.6524960652476032	-0.4450402318085508	0.13285624869057575	0.4150880658022165	1.6952208428791997
Nadph Oxidase Complex (15g)	-0.2777907743345391	-1.2114331751756102	0.08589640502693877	-0.4643271020447447	0.07121003896577886	1.7964446075621776
Golgi Stack (151g)	-0.5341797307649616	-0.3913057999940646	-0.7958559531308065	0.7739008017657282	-0.7263631381075463	1.6738038202316465
Secondary Lysosome (14g)	-0.451431446048043	-1.0331186356212356	-0.25727748792955235	0.5036459376596102	-0.5303607317475805	1.7685423636867996
Complement Component C1 Complex (2g)	-0.8755919767938826	-0.6837710114625124	0.39088904600758084	-0.015619995478830192	-0.6145429442443049	1.79863688197195
Phagolysosome (5g)	0.21737876224407982	-1.2848476463539866	0.052710197860001994	-0.15173658821118013	-0.5559966363020097	1.722491910763094
Early Endosome Lumen (3g)	-0.657802533109181	-0.488611590015082	-0.4430436151694072	-0.8645506128428317	0.7947191765774609	1.6592891745590421
Actin Cap (4g)	-0.2603148620095082	-0.10131264471109432	-0.8195182776660471	-0.011088763402093112	-0.7342073376319994	1.926441885420745
Phosphatidylinositol 3-Kinase Complex, Class Ia (2g)	-0.5878189321571102	-0.48859961637862726	-0.3916733413464149	0.6862943171322207	-0.9292769025854176	1.7110744753353486
Perinuclear Endoplasmic Reticulum Membrane (4g)	-0.3566946696494063	-0.7801631666234672	-0.4044764699305389	0.7102657657862909	-0.8593575318430426	1.6904260722601632
Smc Loading Complex (2g)	0.17939187395224174	-0.0643357001668808	-1.3294578894415465	-0.225293842208967	-0.30706561284882755	1.746761170713977
Scc2-Scc4 Cohesin Loading Complex (2g)	0.17939187395224174	-0.0643357001668808	-1.3294578894415465	-0.225293842208967	-0.30706561284882755	1.746761170713977
Rb-E2f Complex (2g)	0.35892891845134556	-0.8175294937280038	-1.0425255653507775	0.08381639160396945	-0.31714904294379836	1.7344587919672656
Axonal Growth Cone (28g)	0.08040337818449744	-0.19789007092979716	-0.8128033090811853	0.35347935398025393	-1.12623644732604	1.7030470951722736
Cyclin/Cdk Positive Transcription Elongation Factor Complex (7g)	0.24162609752120648	-0.8011881241668763	-1.0625968381429618	0.15439714020611406	-0.2833707440679224	1.7511324686504388
Condensed Nuclear Chromosome, Centromeric Region (29g)	-0.4564277951542309	-1.1378190031759965	-0.444671648166417	0.08360807818120623	0.14678242609511497	1.808527942220321
Cop9 Signalosome (36g)	-0.7709312058310132	-0.6185830243442514	-0.3365237365680394	0.6131423139322012	-0.650730708119952	1.7636263609310547
Pore Complex (23g)	-0.23166136011852106	0.10276503740986842	-0.8632938802182749	0.031230818769624684	-0.8847673926373045	1.8457267767946113
Mre11 Complex (8g)	-0.13127073600233988	-0.7523659336155405	-0.701653621036833	0.19238039972664633	-0.5112880925139343	1.904197983442005
Ric1-Rgp1 Guanyl-Nucleotide Exchange Factor Complex (2g)	-1.0177951150347542	-0.906618410562783	-0.12278879412565376	0.014438782519296643	0.28810064295619237	1.7446628942477
Eukaryotic Translation Initiation Factor 4f Complex (13g)	-0.8330768805213109	-0.4238451982234113	-0.8078392960514029	0.20421435851830064	0.007990274331697148	1.8525567419461342
Cis-Golgi Network (69g)	-1.330791687738915	-0.2930930838683086	-0.1900766960070107	0.4991838538485254	-0.3409738954693021	1.655751509235023
Golgi Transport Complex (14g)	-0.24557934001502849	-0.35477759300333284	-0.6881297368254351	-0.24983441441470908	-0.47475826526817205	2.0130793495266692
Trappiii Protein Complex (2g)	-0.28793308472226	-1.081653863041622	0.23660730395371712	-0.4033173260838495	-0.315449085102185	1.851746054996198
