gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff	cell_type
WDR63	1.474154699280837e-23	-3.3528683927593983	0.035	0.458	4.890803045804034e-19	-0.42300000000000004	PSC
TBX15	1.5642835051330055e-23	5.828004025331713	0.202	0.009	5.189823384979772e-19	0.193	PSC
TBC1D4	1.6854633210560632e-23	-2.7948314682264304	0.061	0.503	5.591861660267701e-19	-0.442	PSC
MKLN1	1.760942535499799e-23	-0.7595624585701288	0.412	0.838	5.842279050027683e-19	-0.426	PSC
RPL41	1.923594760452591e-23	-3.5116574227012465	0.044	0.474	6.381910336753561e-19	-0.43	PSC
AL035446.2	2.2082152378453015e-23	3.8815288610716485	0.228	0.056	7.326195694599357e-19	0.17200000000000001	PSC
C2CD2	2.6425703284772886e-23	-1.1589394584398598	0.351	0.797	8.7672555787891e-19	-0.44600000000000006	PSC
LRMDA	3.0820458820876413e-23	0.3674213209258892	0.561	0.85	1.0225303623002168e-18	-0.2889999999999999	PSC
NHSL1	3.4400866191443635e-23	-1.788886573520752	0.167	0.634	1.1413175376335254e-18	-0.46699999999999997	PSC
TBX3	4.639328485650445e-23	-0.9804742586730457	0.088	0.48	1.5391900116842483e-18	-0.392	PSC
CRISPLD2	6.37873680341888e-23	-0.72135319274228	0.333	0.776	2.116273509270282e-18	-0.443	PSC
COL14A1	6.706599670676788e-23	2.4141554869925397	0.333	0.189	2.225048572740438e-18	0.14400000000000002	PSC
ZDHHC14	7.093924578197529e-23	1.8172445660473424	0.395	0.371	2.3535513573085943e-18	0.02400000000000002	PSC
RAP1B	7.60953003216338e-23	1.1509106895602967	0.412	0.477	2.5246137787708445e-18	-0.065	PSC
SLCO3A1	7.989650598990798e-23	2.0495883336601954	0.518	0.291	2.650726379227177e-18	0.22700000000000004	PSC
CYP26B1	8.561743173831136e-23	5.90672151718238	0.184	0.01	2.840529532781956e-18	0.174	PSC
PLXDC2	9.66100787679569e-23	-1.203966684161954	0.342	0.787	3.205232583284506e-18	-0.445	PSC
AP002518.2	1.1528624174109127e-22	-1.9926108610817355	0.219	0.679	3.824851642244185e-18	-0.4600000000000001	PSC
SIK3	1.2006114344223469e-22	0.987318162183098	0.57	0.638	3.9832685559830204e-18	-0.06800000000000006	PSC
LINC00578	1.2151217405377586e-22	5.906212803641638	0.123	0.024	4.0314093985821215e-18	0.099	PSC
PAPSS2	1.2538829813450014e-22	-3.0429438955346937	0.123	0.568	4.160007567208311e-18	-0.44499999999999995	PSC
RAPGEF2	1.4091332549404285e-22	1.6930052600450212	0.421	0.355	4.675081399915859e-18	0.066	PSC
KCNIP1	1.459385448844029e-22	-4.728194417749935	0.035	0.444	4.8418031036298345e-18	-0.40900000000000003	PSC
HSPA12A	1.483746110940385e-22	-3.301813440580845	0.061	0.49	4.922624472266915e-18	-0.429	PSC
RBM47	1.561979063026016e-22	-1.8131496511622347	0.193	0.655	5.1821779374014135e-18	-0.462	PSC
NOV	2.630361467314543e-22	-7.372712094508195	0	0.347	8.72675024010946e-18	-0.347	PSC
CYP21A2	2.630361467315753e-22	-7.245808395050123	0	0.347	8.726750240113473e-18	-0.347	PSC
PEBP1	2.6414145262339494e-22	-3.0849369131609334	0.044	0.458	8.763420973686373e-18	-0.41400000000000003	PSC
UST	2.8622773325101504e-22	-2.7663129289530817	0.088	0.527	9.496177506068926e-18	-0.43900000000000006	PSC
AL139383.1	2.867670777697448e-22	-4.069161248043426	0.018	0.406	9.514071339166823e-18	-0.388	PSC
GATA6	3.2723643283084578e-22	-2.5202372981613417	0.026	0.412	1.085672313202897e-17	-0.38599999999999995	PSC
AC020637.1	3.7497338125634817e-22	-5.144290566630668	0.018	0.403	1.2440491869941863e-17	-0.385	PSC
ITGBL1	3.772610372923082e-22	2.8863341020045112	0.342	0.15	1.251638943424691e-17	0.19200000000000003	PSC
COL11A1	6.237632627341051e-22	5.97793309118657	0.184	0.014	2.0694593767729404e-17	0.16999999999999998	PSC
LRFN5	6.477804330850462e-22	-7.6727296240909135	0	0.341	2.1491411428462576e-17	-0.341	PSC
AL117190.2	7.06645327403066e-22	-2.9457197997913602	0.035	0.431	2.344437202725152e-17	-0.396	PSC
EFHD1	7.191118461097905e-22	2.797709648398806	0.298	0.107	2.385797371838452e-17	0.191	PSC
THSD4	7.615528524334943e-22	-0.5509621927467325	0.211	0.623	2.526603898518604e-17	-0.41200000000000003	PSC
FAM198B	8.009661278168249e-22	-4.886464945914124	0.009	0.38	2.6573653222578798e-17	-0.371	PSC
C1R	8.0581307151876795e-22	-1.2024688307927278	0.158	0.587	2.6734460273778165e-17	-0.42899999999999994	PSC
ADAMTS2	1.0169355240186752e-21	1.5827380038800842	0.421	0.399	3.3738869880367587e-17	0.021999999999999964	PSC
SKI	1.1121290015533077e-21	1.7450590075903518	0.386	0.301	3.6897103884534086e-17	0.08500000000000002	PSC
CYP11A1	1.2567338217698456e-21	-6.379714104808995	0.009	0.371	4.1694658004858165e-17	-0.362	PSC
HS3ST2	1.7906901903117244e-21	4.067465524497348	0.272	0.035	5.940972844397209e-17	0.23700000000000002	PSC
EPS8	2.0349158039576335e-21	1.1228544855088787	0.658	0.675	6.751240162790241e-17	-0.017000000000000015	PSC
SORT1	2.2134229679305074e-21	3.0108021255230533	0.351	0.105	7.343473380703044e-17	0.246	PSC
KLHL29	2.384268242596343e-21	-1.6619922482670533	0.351	0.777	7.910286748461887e-17	-0.42600000000000005	PSC
TNS1	2.4386490429478347e-21	-0.6110597532431212	0.412	0.815	8.090705929788031e-17	-0.40299999999999997	PSC
HHIP	2.8724796038051626e-21	-4.946925986430648	0.009	0.372	9.530025581544388e-17	-0.363	PSC
NEGR1	3.224193685983977e-21	-1.75498638101273	0.228	0.677	1.069690739198904e-16	-0.44900000000000007	PSC
COL6A3	3.3857711291159795e-21	1.7969324569618175	0.351	0.283	1.1232972875068085e-16	0.068	PSC
AC098864.1	3.500770046131394e-21	-7.260754911127195	0	0.332	1.1614504782050125e-16	-0.332	PSC
KIAA1211	4.099661082896774e-21	-7.696430054910763	0	0.331	1.3601445574726627e-16	-0.331	PSC
DLEU2	4.148436058741041e-21	0.8613609974568708	0.553	0.678	1.376326631208515e-16	-0.125	PSC
APOE	4.29989232747532e-21	-1.5825003861763796	0.132	0.558	1.426575277486487e-16	-0.42600000000000005	PSC
CRIM1	4.336586883191142e-21	1.631273391697076	0.579	0.465	1.4387494302363251e-16	0.11399999999999993	PSC
FDX1	4.581631600920742e-21	-2.4599131868562987	0.07	0.487	1.5200479162374744e-16	-0.417	PSC
TRAF3IP2-AS1	5.026029130484069e-21	1.3190040085335963	0.404	0.428	1.6674856846206994e-16	-0.023999999999999966	PSC
KCNQ1OT1	6.0705986387887134e-21	-1.6752356121335197	0.14	0.578	2.0140425103909313e-16	-0.43799999999999994	PSC
IL16	7.200904967261421e-21	-5.976538156122811	0.018	0.375	2.3890442409883216e-16	-0.357	PSC
PHACTR2	8.546995974076432e-21	-1.7204347430459397	0.149	0.587	2.835636854319338e-16	-0.43799999999999994	PSC
AL160272.2	8.738530330314022e-21	-4.188865482026804	0.061	0.442	2.899182207688283e-16	-0.381	PSC
MYO6	1.0448471196858969e-20	1.932483991946621	0.325	0.253	3.4664892889819e-16	0.07200000000000001	PSC
COL1A2	1.1835958785483816e-20	1.2665627144233673	0.421	0.439	3.9268160462599657e-16	-0.018000000000000016	PSC
