gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CRISPLD2	8.789117672086378e-15	3.6441710138014534	1	0.906	2.9159655700680977e-10
CCBE1	1.6716168947338874e-11	3.6387430469325612	1	0.938	5.545923371658619e-7
SLC5A3	1.7281072252640167e-14	3.638541863383965	1	0.969	5.733341341258428e-10
GDF7	7.256452146355564e-10	3.6374392837580722	1	0.875	2.4074731285963852e-5
FBLN5	1.8475038005896256e-12	3.620294667753909	1	0.906	6.1294633592162e-8
AP001092.1	7.779860621846953e-13	3.595623068068529	1	0.812	2.5811243585101637e-8
SAMD11	1.6362557427239402e-9	3.589474634417891	1	0.469	5.428605677635216e-5
ARHGEF25	7.29588518214825e-12	3.5876438032079783	1	0.531	2.420555826881325e-7
AC025280.3	5.862123957517719e-15	3.5783772442992157	1	0.938	1.9448768653856537e-10
COL7A1	5.709212661765145e-12	3.5760804204778123	1	0.562	1.8941454847938222e-7
ALDH1A3	3.240506889639264e-11	3.575103151214657	1	0.906	1.0751029707756186e-6
S1PR3	3.531812231510335e-14	3.57067290655389	1	0.625	1.1717493440481838e-9
VEGFC	8.293460058983815e-7	3.562020003030232	1	0.938	0.027515212437690603
CCDC80	1.9594289588422298e-10	3.5619257789771384	1	0.812	6.500797456750866e-6
EMILIN1	1.5292800619761814e-12	3.5531250949022706	1	0.656	5.073692461618377e-8
LMOD1	1.4205309743765404e-10	3.5512896602994237	1	0.938	4.712895613689048e-6
SYNPO2	1.083624920822278e-9	3.550629124660003	1	0.875	3.5951423998120713e-5
CYP26B1	6.892597904231305e-10	3.5214238535130957	1	0.594	2.28675720668682e-5
GFRA1	3.5188016556906262e-9	3.5118623423481288	1	0.969	1.1674328253084791e-4
AC016877.1	2.919730515911287e-12	3.5046235721188546	1	0.594	9.686789932638876e-8
HAUS7	2.4350883673056257e-15	3.4941461834878766	1	0.781	8.078892676209874e-11
CFH	1.9887199809143353e-7	3.4773759330305185	1	0.875	0.00659797628067949
PRRX1	8.375073929607037e-7	3.4744724228070254	1	0.656	0.027785982776257264
AC099687.1	7.395475861329726e-8	3.4690823845947873	1	0.656	0.002453597026513363
PDE1A	5.0972515394845034e-8	3.4633755662039327	1	0.938	0.0016911151432547737
LINC00485	1.861218115544066e-7	3.456964160379327	0.75	0.531	0.006174963341940548
FSTL1	1.4915611997085075e-6	3.4493436996824425	1	0.969	0.04948552592272915
LINC02518	4.7923506020396786e-9	3.445487051902898	0.75	0.375	1.5899581592387042e-4
IGF2	1.6023221008925917e-11	3.444581568884038	1	0.969	5.316024034131352e-7
TBX18	2.8460358359692236e-8	3.4337483630661967	1	0.781	9.442293092995093e-4
FST	1.2543145734498253e-8	3.4319555322974256	1	0.625	4.161439460334485e-4
AC024337.2	2.3817033509164214e-9	3.427725597599994	1	0.375	7.901777207335411e-5
PRRT2	2.3556781280001883e-15	3.423546816829254	1	0.719	7.815433325266225e-11
