gene,Adipo,Bcell,CLC,Endo,Eryth,LEC,mCAF,Myeloid,Plasma,PSC,Tcell,ZF,ZG,ZR
S100A9,0.025777352640431565,0.2233454442062753,1.187262477030929,-0.4935423765388044,2.8848195237146337,-0.7378462620824331,-0.4942349441627782,0.48045742274589937,-0.20249309453162267,-0.6710378674973749,-0.1241338339911216,-0.7298500012415742,-0.7286861240446968,-0.6198377162477634
KIT,-0.616424745694875,-0.10202316946919598,1.4019404536678093,1.4225012648992204,2.4361513847654295,-0.20650414400557907,-0.4913515512004615,-0.38751610329190855,-0.40190111199510714,-0.7044046958956958,-0.18986403248556796,-0.6911960085659644,-0.7188560502390056,-0.7505514904890983
CCL21,-0.31081450885133355,-0.3115139366796728,-0.3002957211871135,-0.18902799659707586,-0.2957642003248743,3.4718444159069577,-0.26509891606903807,-0.27211806931817906,-0.29341186328629987,-0.21720917112348,-0.3021615930491431,-0.23959585965250452,-0.22675383111782552,-0.24807874865041732
PDPN,-0.4524076742576244,-0.2818939307681265,0.34461374569295167,-0.34295250651088505,-0.5051195548561583,3.3109483521691656,0.5296783536532933,-0.3423130457146408,-0.4241974728744901,-0.29819752385169834,-0.33228937542834286,-0.38937697196340054,-0.4080373010046678,-0.4084550942853761
PROX1,-0.5989473209809169,-0.5501636520322302,-0.43249290329764833,-0.3897832836599324,-0.5750366060202052,2.982597462258681,-0.4770558593093711,-0.4448213069846433,-0.5696866788329553,-0.3844975766472691,-0.5761810333425531,0.7944187472389524,0.3228002396863235,0.8988497719237674
EFNA5,1.6802582791197505,-0.4905896890923721,-0.09437020806715099,-0.4330647019057509,-0.5756164547368661,2.669457177293673,0.6852072516548876,-0.539455339062973,-0.5859505902217008,-0.3519301115905347,-0.5304337418893839,-0.5733456573821898,-0.23704802953416082,-0.6231181845852278
NT5E,-0.7238600856748666,1.109160287392389,0.10799036847861325,1.4407462449927464,-0.8449485710598076,2.20961080154753,0.9362787689535532,-0.5885571688136838,-0.7457400259935951,-0.6117855659553671,-0.3073858510158668,-0.6856951147415397,-0.6948230463844401,-0.6009910417256644
KLF5,-0.4012431607076483,-0.3746977347369082,-0.023893221052382202,-0.3253535418286408,-0.4593737743050095,-0.2829541694174897,3.3678672060786172,-0.32835881329296657,-0.31157260539495074,0.5236072780240532,-0.36502269107060203,-0.3305837472440298,-0.3417242521616615,-0.34669677289038175
MFAP5,-0.4753128799870682,-0.2561391091766429,0.5594210661603394,-0.23616799919990078,-0.49370405199768375,-0.22850732689966693,3.3588494088456127,-0.30536826884374796,-0.4480126233024358,-0.2121316558177846,-0.41484764913707245,-0.23337748815853573,-0.2462890374253158,-0.36841238506009727
POSTN,-0.37990775104023067,-0.26979852760461864,0.11521298493771041,0.5112732573362737,-0.37721837344423376,-0.31458355390233006,3.3504259516467507,-0.36844545949426033,-0.4480808178206273,-0.18982355414270533,-0.36788645685889776,-0.39971397259484864,-0.39284887540097324,-0.4686048516170098
COL1A1,-0.17514366165044115,0.14773530725594294,0.29607021490901875,-0.5738264170983011,-0.2428041989320841,-0.658873016405725,3.132032288391929,-0.3129691270875697,-0.3440659972510188,0.8334811235029379,-0.12613290503120494,-0.6541143687219657,-0.6562724172456981,-0.6651168246358207
CXCL12,-0.015422367412354183,0.04870616822435623,0.16074617705560468,-0.5158511653011119,-0.45097731045066974,-0.7556925244040673,3.113148145597394,0.24196336520855835,-0.11484211061793174,0.6948582058489171,-0.18059838724598543,-0.735189346816897,-0.7578299276202616,-0.7330189220655517
EMILIN3,-0.4382155038956739,-0.4649623524393338,0.47787959580962797,-0.08048375334125815,-0.6751574765392095,-0.6751574765392095,3.087691544786706,-0.39487102910341587,-0.6751574765392095,0.9495277654736398,-0.470624193449307,-0.28727435791457057,-0.05076946696198754,-0.30242581934679835
TNC,-0.15019213702524614,0.3833805647599305,0.9786361146012466,-0.45856921128216693,-0.6012672924405051,-0.712005580080913,3.035093218351744,-0.1963302166172253,-0.3156151839329478,0.21196730035236214,-0.14108277396421046,-0.6694215579073892,-0.6804823470223688,-0.6841108977923117
COL1A2,-0.16289539421210186,-0.04963085829103416,-0.02838129750419765,-0.4937296400357492,-0.565955961964151,-0.5403517383784805,3.012486825898563,-0.35830606900109485,-0.2914324696839788,1.3656686368432291,-0.24273678063863657,-0.5467586457785618,-0.5542303983917282,-0.543746208862077
THY1,-0.430716320414789,-0.340363583770123,-0.1506890182209869,1.7285726662820624,-0.31483005804694686,-0.6422127740574377,2.8128090000306654,-0.43358790005480685,-0.3949422757008587,0.05945494419344175,-0.35104378553732335,-0.5334220639407805,-0.513530211495776,-0.495498619266341
COL3A1,0.12906856668090866,-0.20195422691680792,-0.16109910861601115,-0.4253585721132962,-0.5047228417166847,-0.581211437571771,2.7367779243042056,-0.41989936836143804,-0.41039326539196186,1.8145263813072705,-0.32081382699840605,-0.554299783689074,-0.5443466216327673,-0.5562738192841663
MGP,-0.8862431791905763,-0.8475218579648668,-0.6440164129073644,1.042598399903177,-0.9449803880996197,0.15272481100286675,2.089061942534026,-0.43964106965747085,-0.8961391244166778,1.7142917886329865,-0.820052718041266,0.07733547189274578,0.10288100314979061,0.2997013331622484
CD33,-0.27979536519081755,-0.17059844034256696,0.2588064392926128,-0.3167493198384185,-0.38222129148168965,-0.41396982367495105,-0.2874310411023393,3.4284199839805782,-0.29365940684257186,-0.26685175078672985,-0.2712344057559445,-0.2880454805864485,-0.3448539456492659,-0.371816152021447
CSF3R,-0.27963236079832576,-0.2447959210851339,0.3347064442738364,-0.3408770516216179,-0.15002949271160257,-0.4262482235332851,-0.3117466623009755,3.4141986862039913,-0.2785773186255089,-0.3070764072168546,-0.28324888047275815,-0.3763177420134335,-0.3865244596595486,-0.3638306104387826
C1QA,-0.1854665924953646,-0.09614020396146895,0.24959504337036542,-0.25132009562152235,-0.5263416037209229,-0.5209581817323978,-0.36599928744372967,3.40867814480942,-0.174434348453991,-0.24070171272399607,-0.24407994586594106,-0.3974631734283496,-0.3938442720013554,-0.26152377073074606
C1QC,-0.40546325101807,-0.07942105635339053,0.018857678651301557,-0.19310814548521704,-0.678500608703827,-0.36765035394853013,-0.3840105894957027,3.406144076524891,-0.5376132589082183,-0.10807827101954036,-0.2330816961603382,-0.1868600912975686,-0.23813937419496917,-0.013075058590820376
CSF1R,-0.4190931233461094,-0.27107571771249783,0.15900462583256858,-0.3029503999094149,-0.4781334615054977,-0.34501362727970475,-0.2460868306166269,3.4004259245346455,-0.41656373921298745,0.23474760356019653,-0.3436103726768724,-0.29581303719708224,-0.32977449105632045,-0.34606335341429617
CD68,-0.7102511564314478,0.4749685359851904,0.5237015846322169,-0.39253517315960573,-0.3820598990077849,-0.40651677659645874,0.020189847548514626,3.240172293408638,-0.6042040902181964,-0.44130973759683584,-0.17999993460406802,-0.3312555288108742,-0.3892519889039191,-0.42164797624536837
LYVE1,-0.6653751511126097,-0.39420682835631715,-0.08990799291935182,0.29467914080040153,-0.8201202574284832,0.9924029910553684,-0.3925248619334941,3.079564114585399,-0.5737595617672543,-0.16645073497528823,-0.698927576460955,-0.06318829821441205,-0.3856520070799912,-0.11653297619301317
CD4,-0.19856068193008689,-0.04715853551195844,0.7134383097874385,-0.43785430962363525,-0.23756379901411898,-0.7283670783442427,-0.1367231742741887,2.9359878837272824,-0.3814942361448362,-0.5036195497250172,1.094965727469041,-0.6743304013301189,-0.677972032884372,-0.7207481222011873
ICAM1,-0.8055583848845516,-0.4083156649908821,0.3847780091749602,1.4236903698720256,-0.7605043178301191,-0.5202025351303476,-0.2972565466113739,2.084973637055844,0.2248635960215568,1.5763475896051968,-0.49168340909216857,-0.7224643569708932,-0.8421964526815666,-0.8464715335376793
SDC1,-0.38621421439277365,-0.3428266100720703,-0.2229423687030118,-0.3246317211017932,-0.21995304420752199,-0.2416233854052712,-0.3244025591477789,-0.35121413307522953,3.4509128342603006,-0.3309142394319398,-0.37317744757650034,-0.11943701638186134,-0.2620817148709031,0.04850562010635427
MZB1,-0.27197910059805624,0.15750268766797468,-0.22419162097467035,-0.3201139120003932,-0.2596169528161036,-0.3356462870295208,-0.30282341822851916,-0.30529894871866325,3.446593406385526,-0.3253757007205829,-0.2729662404183359,-0.32665558616132834,-0.32832582207319044,-0.3311025043141362
IGHG1,0.13025203334334723,0.3172821600948117,0.042262971010201954,-0.43458417463497095,-0.18540833762238199,-0.5010760256665915,-0.27405958600532093,-0.25228884673334373,3.35225179767753,-0.4882798294649788,-0.20821773752287015,-0.4996487991324554,-0.49758547866095354,-0.5009001466820246
CD38,-0.5234410937261935,-0.24056938565783337,-0.15668768605314348,-0.11097928158788757,-0.37384068001843124,-0.3342429188017293,-0.4939017044718461,0.4549641850367656,3.2363875115416527,0.6050560054515284,-0.3794370990715978,-0.553676811477602,-0.5640058501229088,-0.5656251910407739
IGHA1,0.25269763118457117,0.8351840046720307,0.19945426379660078,-0.5804201802668507,0.5106436961568535,-0.695837376768037,-0.308076094795752,-0.29264221004904684,3.0030078901605166,-0.6699621529194302,-0.17684192176355773,-0.6937005516452616,-0.6916756493941627,-0.6918313483684736
PDGFRA,-0.3869185758706816,-0.376027428328709,-0.32692002649894003,-0.27282122368996514,-0.40782821788617973,-0.27878034307030963,0.5775692254674941,-0.317880931083272,-0.38895038127831155,3.3671475306221166,-0.36634974777814217,-0.27756695700476985,-0.28570977829263294,-0.25896314530769693
LUM,-0.48541197936649305,-0.5069687107084218,-0.3360046556379289,-0.2750038652378186,-0.5605379552793222,-0.03463097823489153,1.1088766888683437,-0.34462648510632793,-0.5062987307852116,3.1579386208504228,-0.5026484133409939,-0.24597882846787855,-0.2739557125106574,-0.19474899504282175
PDGFRB,-0.06688836102574797,-0.37007555715497586,-0.22094735761701986,-0.4310861005022652,-0.5308876930929937,-0.3286230982271585,1.4206010912655518,-0.41323500196467877,-0.4385015138983056,3.0286428890552517,-0.42972318138472304,-0.4082509991372043,-0.40112679297754317,-0.40989832333818815
ACTA2,-0.8290902044093383,-0.3963187647353146,-0.3650154779233899,-0.47225650213612885,-0.9533034169101929,-0.23204804682554583,0.652852826951173,-0.59579037044599,-0.852910950410269,2.681355626658701,-0.47855046893580105,1.328126972523937,0.33968067027372073,0.17326810632443984
RGS5,-0.8023770583288864,-0.18986967275152933,0.6905656810369527,-0.6184523863291332,-0.6735417429613704,-0.2756281900517856,-0.5828079056555292,-0.7246635227728947,-0.7508701504715005,2.620572836685645,-0.7941539121391943,1.0347194099440757,0.10599826157893856,0.9605083522162137
TAGLN,0.34385985063857466,-0.22740356728554395,-0.5100089869630853,-0.49507671194281816,-0.6511129357990152,-0.3311201583884975,1.9128749867617685,-0.11702329593454047,-0.656492539093971,2.6082787986104856,-0.47709680897406115,-0.44463239006917216,-0.516171455991441,-0.4388747855686842
NES,-0.5316149230209155,-0.5365399776004529,-0.300202379457746,2.297689953436387,-0.5727875349191951,-0.04876818535505104,-0.12050397880889437,-0.46264552500068823,-0.37055828630260307,2.3685171828548075,-0.5185187096338197,-0.41220961041569854,-0.3685540439256512,-0.4233039818504799
KCNJ8,-0.8105504263824977,-0.7736224422785908,-0.24339907788402593,-0.3329268958522037,-0.9660192881876637,0.2645466155189513,-0.24528162225842087,-0.5083075226524424,-0.8709072374683858,2.2926304015186996,-0.811435474528502,1.592093905046127,0.5543504711013996,0.8588285943075556
CD3G,-0.23104279041781484,0.09827271565318339,0.5147393994784679,-0.4160072473880694,-0.01340222565929253,-0.5467046260555127,-0.30708829616959615,-0.26748010106345776,-0.1159295615942781,-0.5042931721869085,3.3150892642121113,-0.5019155898913897,-0.5143290555130536,-0.5099087134043891
CD3D,-0.3405396107605733,0.03348627748419477,0.18672944926411805,-0.47255690881273804,0.4040723289182895,-0.5314455883113023,-0.30555284734181626,-0.3040057903281993,0.028070523677344385,-0.501594562657108,3.3136751763532244,-0.5018128122690488,-0.5085224573491691,-0.5000031778672163
CD3E,-0.12610226602872202,0.11040698758340473,0.3331010499889159,-0.45001873833696593,0.31662152542598937,-0.5321373132560673,-0.3583815587641337,-0.2520991680886651,-0.21897896366730757,-0.5193900169234147,3.302421198621196,-0.5323869077729504,-0.5454979696145257,-0.5275578591667547
TRBC2,-0.1223526434791704,0.539878223710488,0.3365228528758375,-0.4999264210970056,0.1970691497989933,-0.6199339154585528,-0.3372416691637551,-0.26615931028162393,-0.11240136472630365,-0.5767254234149377,3.217056198833625,-0.5871838893392662,-0.5977803052976793,-0.5708214829606496
TRBC1,-0.23006477040853004,-0.09267761184989406,0.2782353192539868,-0.5050784062990792,0.7396787658748898,-0.43676918840953227,-0.3499481714864832,-0.3469613943863234,-0.006489151729023858,-0.5616717226462226,3.215781981314981,-0.5739182163614303,-0.5806828991302198,-0.5494345337371185
CD8A,-0.23365135065590534,0.013257994004159593,0.9897274637744868,-0.4552571800746126,0.3173951665241168,-0.5350529675566542,-0.35194702473815787,-0.28861631100985363,-0.24480944520835562,-0.6109864619955327,3.1212654933534254,-0.5494179619965525,-0.5774016843378456,-0.5945057300827192
S100A4,-0.48023235347483756,0.8938022084115296,0.35099120546039114,-0.8087843926309956,1.5492630373633045,-0.5728022796308165,-0.2946517065676832,0.49582947187676546,-0.058623698389853054,-0.8364441993203054,2.297405272392921,-0.915196680858537,-0.7970435077773056,-0.8235123768545776
HSD3B2,-0.8296419042265438,-0.8309956187040427,-0.5702208374191574,0.06374551154302242,-0.8143774209019637,0.3505133425081367,-0.38252475203912023,-0.29884870177226774,-0.7999923172869127,0.17124534400404356,-0.7475985108664205,2.5891003914469706,0.7905567710260663,1.3090387026881893
CYP21A2,-0.8473931045995368,-0.8576476532799644,-0.6261832603709355,7.599487332400904e-6,-0.7910308689125514,0.17812570892914298,-0.38015537660623594,-0.3126814215877317,-0.7742544090511345,0.11577483957538243,-0.7587288855547718,2.0887083103590096,1.0913880955174522,1.8740704260945416
NR5A1,-0.7035700607181825,-0.6990814599356671,-0.5086627367881233,-0.1953899147041124,-0.7145220255701789,-0.19024942703503178,-0.5039208290805132,-0.3630634839998438,-0.6426402026159108,-0.1730812139851758,-0.6518524593930789,2.080653646994839,1.2731467359774409,1.9922334308535383
STRIP1,-1.102263328130814,1.6991896198840684,-1.1426954121232704,-0.4609987177027777,-0.810083300020344,-0.4027731528061001,-0.207295392002524,-0.19552376489154835,-1.0907278259443556,-0.09859444328401243,0.2998689821135939,2.010773756724085,0.8520745947312571,0.6490483834527466
VSNL1,-0.5539310792710528,-0.47400081722696286,-0.12825607293071595,-0.17294351712835107,-0.5478905610118748,-0.09359409762345905,-0.2272275926096588,-0.33624205113296873,-0.5310709648206093,-0.1441496027510158,-0.5259566853836002,0.6217545870306926,3.308253208059393,-0.1947447531998159
CYP11B2,-0.5759915587274461,-0.5744968687890373,-0.4830464879871534,-0.14307844843581932,-0.5792373072972807,0.0666889705327334,-0.2844440892541041,-0.39395066229066167,-0.5436376837853619,-0.10697799927987109,-0.5582289641856651,0.7525645542764062,3.2055757511358345,0.2182607940874272
DACH1,-0.7223191599803958,-0.6480237974304028,-0.1997666442504481,-0.06626845634938182,-0.7392237805470845,-0.10501051701389444,-0.17563463536624727,-0.39689661411443744,-0.7047681419255833,1.0894366477014858,-0.6519616303978527,0.5097691222756809,2.978507895523939,-0.1678402881253783
NCAM1,-0.7689747294830056,-0.7179176799179643,-0.10476522442857297,-0.2596567994210838,-0.7088508689041513,0.14618500026669148,-0.35595428818465386,-0.4224689522401328,-0.6986797227395183,-0.09815438783707617,-0.6279327321980448,1.7874635700905157,2.617998886275652,0.21170792872134447
CHGB,-0.8334707127472625,-0.736889505387152,0.5542159430326153,0.0711624333494266,-0.9294565835985176,-0.2335577772904926,-0.486970669608618,-0.3138484077578011,-0.9294565835985176,-0.1393792880683985,-0.7654754739180711,1.2243799228975145,2.479393069760369,1.039353632934905
SULT2A1,-0.9309347491435308,-0.8999411567624642,-0.321439527700243,0.04399021177593007,-0.9155848106698722,0.46728649850021653,-0.22444603850361616,-0.37522445261916987,-0.8115469084816733,0.23844385975252827,-0.8310968599085234,1.4046393180824976,0.6802971985434243,2.475557417134496
CYP11A1,-0.7872903433301899,-0.7990345882208959,-0.5072948650439933,-0.017272683607719237,-0.7965049257783369,0.0849794446089142,-0.3614264425092369,-0.2778175848185354,-0.770469420169558,0.14221020590274044,-0.7211719261115999,1.8129489526613716,0.5718547575589832,2.426289418858056
ABCB1,-0.8205862225357807,-0.6880869618141825,-0.24521153696698836,-0.200453390112341,-0.8390645846778207,0.12459275711185053,-0.533479108648265,-0.4852453762599847,-0.7795114265898715,-0.17278673604493053,-0.4866708053446968,2.042447094769397,0.9455321267602256,2.1385241703533886
CYP11B1,-0.8988320683318829,-0.9043593557664983,-0.6736805298519695,0.08798700367844063,-0.858551675519045,0.4314594148183404,-0.35869445383644977,-0.2694543691255097,-0.8130873951992357,0.29982671906153124,-0.7921272830512601,1.888334748162603,0.817948593097474,2.0432306518634604
CYP17A1,-1.0157625596844355,-1.0295253281920034,-0.6576363823559888,0.4002046647132389,-0.9746388340948884,0.6359568878245907,-0.24540546049702583,-0.16696382651835034,-0.9188405174513462,0.5809954238276289,-0.8668845366253355,1.607910722172304,0.6765693598680295,1.9740203870135824
