"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","pct_diff"
"ROBO2",8.98057798455673e-17,-1.52771867111548,0.076,0.211,2.97948635793639e-12,-0.135
"PARD3B",1.23576280281524e-20,-1.52401190731054,0.1,0.267,4.09989025090011e-16,-0.167
"SLC16A10",1.21046886823657e-14,-1.52215053376758,0.085,0.213,4.01597256414845e-10,-0.128
"KANK1",2.00584703097599e-18,-1.51806563555378,0.085,0.233,6.65479869466905e-14,-0.148
"SLFN12L",4.39333150932651e-66,1.51630355285921,0.647,0.448,1.45757559484926e-61,0.199
"UBE2E2",2.1109850020995e-22,-1.51345088712449,0.111,0.291,7.00361494146551e-18,-0.18
"CASC15",7.11871411421289e-19,-1.51326457983986,0.066,0.207,2.36177578167241e-14,-0.141
"CERS6",4.58563157234924e-27,-1.51180903251799,0.094,0.288,1.52137498675831e-22,-0.194
"AF165147.1",9.23949187872325e-16,1.50589796057675,0.23,0.143,3.06538622060401e-11,0.087
"SAMD12",9.95788682965849e-24,-1.49266087908124,0.111,0.297,3.3037281134758e-19,-0.186
"ST6GALNAC3",4.78915778736421e-20,-1.47309787912094,0.113,0.282,1.58889887911383e-15,-0.169
"PTPRD",5.87008030133387e-21,-1.46469421038541,0.087,0.248,1.94751654157354e-16,-0.161
"KIAA1217",3.14472535804846e-20,-1.45850539801151,0.073,0.222,1.04332553203974e-15,-0.149
"BIRC3",6.34951459053923e-16,-1.45637205846304,0.083,0.218,2.1065784557032e-11,-0.135
"CACNA1A",9.37281182052533e-21,-1.45327028671792,0.076,0.23,3.10961777769569e-16,-0.154
"RETREG1",3.4294645594806e-24,-1.44911498986471,0.098,0.28,1.13779345689888e-19,-0.182
"CNTNAP2",1.21142884974891e-28,-1.44282830102169,0.156,0.382,4.01915749481195e-24,-0.226
"LINC00944",8.69328674066561e-15,1.42903191759757,0.23,0.145,2.88417174195063e-10,0.085
"KCNIP4",6.09075561624739e-17,-1.42544180786714,0.102,0.25,2.0207299908024e-12,-0.148
"MACROD2",2.81250989154528e-25,-1.42233423679272,0.118,0.315,9.33106406717976e-21,-0.197
"CYTOR",5.09362532735115e-18,1.41569246591626,0.29,0.178,1.68991207485529e-13,0.112
"CSMD1",4.45738809682539e-22,-1.37878486108755,0.104,0.279,1.47882764888376e-17,-0.175
"SYNE1",2.20137907204236e-57,1.37324823530853,0.633,0.482,7.30351534731495e-53,0.151
"KIF13A",1.51007422702223e-15,-1.37252490920417,0.081,0.211,5.00997326299164e-11,-0.13
"MCTP2",1.18055943466788e-24,1.36986384068351,0.382,0.254,3.91674203639761e-20,0.128
"SFMBT1",6.56654615214485e-36,-1.35100503312027,0.126,0.371,2.1785830168971e-31,-0.245
"PCDH15",4.65095329815596e-23,-1.34795307315762,0.062,0.217,1.5430467757292e-18,-0.155
"KLHL6",1.19746294236092e-24,-1.34616329907588,0.066,0.229,3.97282280387081e-20,-0.163
"PIK3AP1",2.88967883889449e-10,1.34469317750493,0.21,0.135,9.58708748380023e-06,0.075
"YPEL1",1.12430299220305e-19,1.33961592815819,0.333,0.197,3.73010003723207e-15,0.136
"LRP1B",7.42745112106412e-20,-1.31093566591258,0.116,0.285,2.46420545843544e-15,-0.169
"FHIT",1.29114870265742e-27,-1.30923075053885,0.169,0.395,4.28364405080651e-23,-0.226
"AC098650.1",3.21603175666182e-21,-1.30751677511576,0.102,0.27,1.06698285590769e-16,-0.168
"MAGI1",2.65678797588662e-15,-1.30650827310959,0.091,0.225,8.81442546759904e-11,-0.134
"MFHAS1",1.43084304911858e-24,-1.30554462663637,0.064,0.225,4.74710798406072e-20,-0.161
"ATP8A1",5.67939271753588e-31,1.29739619176808,0.477,0.326,1.88425212189688e-26,0.151
"ITGA4",2.64651421855641e-23,1.29329433242736,0.383,0.262,8.78034022290461e-19,0.121
"SYTL2",4.40870510304153e-15,1.29239901303457,0.27,0.168,1.46267609203609e-10,0.102
"LDLRAP1",4.80809510755879e-29,-1.29119298484607,0.137,0.356,1.59518171383478e-24,-0.219
"CTNNA3",3.63103320953492e-19,-1.27786522795745,0.079,0.227,1.2046678879274e-14,-0.148
"TCF7",2.01195574020895e-32,-1.27577110045821,0.168,0.415,6.67506555929123e-28,-0.247
"DST",8.16696677526989e-16,-1.27415714960074,0.083,0.216,2.70955456703129e-11,-0.133
"RUNX2",9.59944837625076e-44,-1.27241267757363,0.202,0.503,3.18480898778871e-39,-0.301
"ZFYVE9",5.0657829489674e-19,-1.26899369316191,0.077,0.221,1.68067480897891e-14,-0.144
"C4orf50",4.46404934642447e-11,1.26317826446333,0.241,0.147,1.48103765166325e-06,0.094
"TGFBR3",4.10777852487155e-23,1.24603399376579,0.366,0.269,1.36283768119663e-18,0.097
"SLCO2B1",2.14617908797635e-12,-1.2439217121845,0.105,0.229,7.12037836017914e-08,-0.124
"TXK",1.75033210321241e-45,-1.24368679655199,0.22,0.531,5.8070768188278e-41,-0.311
"GNG7",4.71069062027697e-21,-1.24294342989624,0.189,0.385,1.56286582708929e-16,-0.196
"TPST1",1.5817279617582e-09,-1.24293394406561,0.099,0.202,5.24769885872519e-05,-0.103
"EGLN3",2.13485951644345e-16,-1.23468743618417,0.074,0.204,7.08282341770442e-12,-0.13
"SOX5",3.68093071056381e-17,-1.23229106747792,0.113,0.267,1.22122238184375e-12,-0.154
"CSGALNACT1",8.33499745814244e-23,-1.22598353308764,0.191,0.397,2.76530210668792e-18,-0.206
"TGFBR1",1.59958152454122e-09,1.21816077136044,0.215,0.137,5.30693162397042e-05,0.078
"FP236383.1",2.1744646417246e-12,-1.20044079708011,0.259,0.415,7.21422134184971e-08,-0.156
"RASSF1",1.55310652614492e-18,1.19801244793215,0.345,0.276,5.152741521791e-14,0.069
"CAMK4",9.57715238341736e-49,-1.1979152847945,0.289,0.616,3.17741184624638e-44,-0.327
"ITGB2",4.06139431037808e-18,1.19612017504245,0.355,0.256,1.34744879035413e-13,0.099
"SUGCT",6.43757039396404e-20,-1.19359967205927,0.072,0.217,2.13579272960545e-15,-0.145
"ST8SIA4",6.07784040510277e-15,1.19028861473713,0.315,0.217,2.01644511120095e-10,0.098
"IGF1R",6.1470794192891e-21,-1.1780088852451,0.137,0.319,2.03941653893755e-16,-0.182
"TPCN1",3.50467801004501e-16,-1.17568611133869,0.118,0.268,1.16274702339263e-11,-0.15
"HLA-B",1.16014086541285e-44,1.16863755130473,0.573,0.493,3.84899934918022e-40,0.08
"SLAMF6",1.05969374849027e-22,1.16823212383138,0.43,0.299,3.51574594936618e-18,0.131
"GFOD1",2.9437784473273e-14,1.16312003761036,0.272,0.2,9.76657375469777e-10,0.072
"LLGL2",2.26720863178585e-10,1.16048576104475,0.208,0.164,7.52191807767592e-06,0.044
"SLC7A6",5.74056763105547e-30,-1.15840807015264,0.165,0.398,1.90454812295527e-25,-0.233
"NDFIP1",8.9235812492862e-24,-1.15408215622707,0.202,0.416,2.96057655107568e-19,-0.214
"PTPN22",2.86206049159341e-13,1.14940691967559,0.326,0.219,9.49545809295945e-09,0.107
"TSNAX-DISC1",9.49161132057205e-14,-1.14750961361727,0.095,0.222,3.14903188782619e-09,-0.127
"CCSER1",9.41538150982548e-16,-1.14655075906911,0.112,0.257,3.1237411235148e-11,-0.145
"HLA-A",4.8414787262109e-30,1.14413497351441,0.525,0.401,1.60625739699499e-25,0.124
"AGTPBP1",9.67148238933473e-22,1.13904025772857,0.427,0.314,3.20870771230958e-17,0.113
"ITGB2-AS1",4.62813305675979e-09,1.13481881115835,0.22,0.158,0.00015354757042412,0.062
"SNX9",3.95839065067629e-29,-1.13046402615247,0.129,0.343,1.31327526617487e-24,-0.214
"SYN3",5.62069923201111e-16,-1.12040294795273,0.099,0.238,1.86477938420433e-11,-0.139
"CORO1B",2.05050603531284e-10,1.1200957038211,0.211,0.163,6.8029638733574e-06,0.048
